fips,name,state,google_place_id
01001,Autauga County,AL,ChIJg9z7ewWPjogRA_8QrB0va7o
01003,Baldwin County,AL,ChIJMRERvxBnmogR0K_9O08dxDw
01005,Barbour County,AL,ChIJtUJfgR1tjYgRAjFO7yq2nuI
01007,Bibb County,AL,ChIJEdvIA8szj4gRU_XpIL_1cSw
01009,Blount County,AL,ChIJdcUJhYeXiYgRERpotPlZFfs
01011,Bullock County,AL,ChIJcXKpowinjYgR2bm-CFekO9E
01013,Butler County,AL,ChIJvwuytCw6jogR94Yjx8idafg
01015,Calhoun County,AL,ChIJGyBy4YNNiogRE-jfYYjjehM
01017,Chambers County,AL,ChIJ8wq7d0SgjIgR7dF0tFV4YxI
01019,Cherokee County,AL,ChIJW8evmPRiiogROnAqHB76oCA
01021,Chilton County,AL,ChIJS3kV4bHJjogROXThhEVi6WQ
01023,Choctaw County,AL,ChIJudf5RKvhhIgRL_9Xfo0IOS8
01025,Clarke County,AL,ChIJQZySLbnLmogRyygQkshn9-Q
01027,Clay County,AL,ChIJ7SnMwYOTi4gRQ2Kp7tU2TTU
01029,Cleburne County,AL,ChIJMbmDk2T_iogREnEFcAKu3co
01031,Coffee County,AL,ChIJY8xZwLgTkogRzT0BJZXvy-A
01033,Colbert County,AL,ChIJx9RdR4pDfYgRwXFUhyjJkjI
01035,Conecuh County,AL,ChIJ-cexfRYwkIgRKRXsDVi20AM
01037,Coosa County,AL,ChIJO38NpV-qjogR_DGYR1a7hfg
01039,Covington County,AL,ChIJL6eZvYO9kYgR8JpPeJgyi8I
01041,Crenshaw County,AL,ChIJazOdWMQHjogRss6g43wnKB0
01043,Cullman County,AL,ChIJ80bNgkhOiIgR2OiZAIYFOOI
01045,Dale County,AL,ChIJdZZpSW99kogR5F9J6CBlYd0
01047,Dallas County,AL,ChIJ9xTUS0kIj4gR5H8RrvN7U5A
01049,DeKalb County,AL,ChIJxy4_RT7ZYYgR6zftJTvIIBU
01051,Elmore County,AL,ChIJ6aOPm3OcjogRrQGwkMQLNAA
01053,Escambia County,AL,ChIJzY1jedVekIgRMfynHUnNNPY
01055,Etowah County,AL,ChIJATNm2KgQiogR8kdQnflzDDQ
01057,Fayette County,AL,ChIJrWUdBMbAh4gRpBTF8Lnhl2A
01059,Franklin County,AL,ChIJx1BvLiP7h4gR2XnrF_6toLc
01061,Geneva County,AL,ChIJA1lA4f9CkogRQJ4ZtfB9S7Q
01063,Greene County,AL,ChIJB6-ELJvIhYgR5dROx5dmh3I
01065,Hale County,AL,ChIJSxtmelHzhYgRBcDVwPeW7Y0
01067,Henry County,AL,ChIJAQQDmdWEkogRVy_0qKujBUI
01069,Houston County,AL,ChIJxctXypKIkogR-g9j2PSoOBw
01071,Jackson County,AL,ChIJoVwm-RjqYYgRsdNo4UCkfeI
01073,Jefferson County,AL,ChIJI3NHUAHeiIgRjEYySwpu1Zg
01075,Lamar County,AL,ChIJsW6IsdGsh4gRB47NLHyT1b4
01077,Lauderdale County,AL,ChIJF6ndq7w3fYgR9E3GhltzBZE
01079,Lawrence County,AL,ChIJ5-nPAWihYogRqk5W1HBMkXA
01081,Lee County,AL,ChIJ52OyZFxYjIgRKmFPDzRWuFk
01083,Limestone County,AL,ChIJdaslZmNhYogRJltxufJfYmA
01085,Lowndes County,AL,ChIJbwCwdcxdjogRoLZlaxo7X14
01087,Macon County,AL,ChIJMaX_VbNVjIgRP0NEpma8y8w
01089,Madison County,AL,ChIJD42VzuAUYogRzlLGpknYs44
01091,Marengo County,AL,ChIJS2WYEO11hYgR3lA_VhrYavM
01093,Marion County,AL,ChIJE7W8GHrdh4gRnkiMvyBu85Y
01095,Marshall County,AL,ChIJcxIcvTAAiogRu8l5JunPtSs
01097,Mobile County,AL,ChIJK6FDUmGym4gRO0XgJVIpkUY
01099,Monroe County,AL,ChIJCQvCHRohkIgRs3ZdtiYokfg
01101,Montgomery County,AL,ChIJ-YHUsJSBjogRwWSetWNBBsQ
01103,Morgan County,AL,ChIJSfZjE7ooiIgRfGKcLi3wy24
