code,city,time_zone,county,google_place_id
00501,Holtsville,Eastern Time (US & Canada),36103,ChIJywvK8NVH6IkRNSZ3XQtkSuM
00544,Holtsville,Eastern Time (US & Canada),36103,ChIJywvK8NVH6IkRJEvaig9zu1E
01001,Agawam,Eastern Time (US & Canada),25013,ChIJj3SIsfvj5okRiCv3jNpIqgI
01002,Amherst,Eastern Time (US & Canada),25015,ChIJB3LZzCvM5okRaOeUS0yjKbE
01003,Amherst,Eastern Time (US & Canada),25015,ChIJ-XxZLQjS5okR28iNWu07dQs
01004,Amherst,Eastern Time (US & Canada),25015,ChIJoxyQGwjS5okRBBe4dvF0jaM
01005,Barre,Eastern Time (US & Canada),25027,ChIJ93GTEVFS4YkRWGwp-GGGfPs
01007,Belchertown,Eastern Time (US & Canada),25015,ChIJ-SF4_VvI5okRDpRKs_pHRQo
01008,Blandford,Eastern Time (US & Canada),25013,ChIJY_fdLjcW54kR12wrWnt0nNc
01009,Bondsville,Eastern Time (US & Canada),25013,ChIJySr5BWzH5okRRXpNGD_VH-8
01010,Brimfield,Eastern Time (US & Canada),25013,ChIJTwak6U685okRYHirmAIkQtE
01011,Chester,Eastern Time (US & Canada),25013,ChIJGWJtcKs754kRrWCx_cmoyWE
01012,Chesterfield,Eastern Time (US & Canada),25015,ChIJVbhVBVYu54kR9rR_sgNhpy4
01013,Chicopee,Eastern Time (US & Canada),25013,ChIJvZXBeNzd5okR9LwZwjHHrhQ
01014,Chicopee,Eastern Time (US & Canada),25013,ChIJ3cuFyPjd5okRzfTsbpiErkc
01020,Chicopee,Eastern Time (US & Canada),25013,ChIJSZZNW_7c5okR3aUvsgJgwBM
01021,Chicopee,Eastern Time (US & Canada),25013,ChIJNxUfwJTd5okRsTqE44yl8Gs
01022,Chicopee,Eastern Time (US & Canada),25013,ChIJLYVNXJXc5okRwKeCFP6CKac
01026,Cummington,Eastern Time (US & Canada),25015,ChIJ7-j2f4ky54kR_eCMQ4fFn_k
01027,Easthampton,Eastern Time (US & Canada),25015,ChIJFbCyG48n54kRtfEvN-mDxuo
01028,East Longmeadow,Eastern Time (US & Canada),25013,ChIJdXDcXLbo5okRQC2ArgB_lxU
01029,East Otis,Eastern Time (US & Canada),25003,ChIJe7PpP_IU54kRHJChXRa8Z38
01030,Feeding Hills,Eastern Time (US & Canada),25013,ChIJyy3w4Tri5okR7uy3k54Wyig
01031,Gilbertville,Eastern Time (US & Canada),25027,ChIJ8WL6-zay5okRmLJpiQrIidY
01032,Goshen,Eastern Time (US & Canada),25015,ChIJt4FQnYws54kRMk5j4IHwxkg
01033,Granby,Eastern Time (US & Canada),25015,ChIJA-Se3zjF5okR6Zf20T25GJY
01034,Granville,Eastern Time (US & Canada),25013,ChIJu4JWfgQR54kR5BYvWZvLJ7Q
01035,Hadley,Eastern Time (US & Canada),25015,ChIJgbKrn2zR5okRUUkoNGwlsas
01036,Hampden,Eastern Time (US & Canada),25013,ChIJFXqQ4tPF5okRmdVmTG59CWQ
01037,Hardwick,Eastern Time (US & Canada),25027,ChIJI98l5day5okRsKpmWEV1VsI
01038,Hatfield,Eastern Time (US & Canada),25015,ChIJkRKRFPDT5okRXnvkp8M7JwY
01039,Haydenville,Eastern Time (US & Canada),25015,ChIJtfBSSrnV5okR10yYllvNofA
01040,Holyoke,Eastern Time (US & Canada),25013,ChIJs-7swsne5okRhgSilS5fOvM
01041,Holyoke,Eastern Time (US & Canada),25013,ChIJ3_4-uJ_e5okRIWcC9KLuT04
01050,Huntington,Eastern Time (US & Canada),25015,ChIJa680HNMk54kRS3Rul8I8kjE
01053,Leeds,Eastern Time (US & Canada),25015,ChIJxUaaTNPX5okR5lsF_pjbStM
01054,Leverett,Eastern Time (US & Canada),25011,ChIJ_6LH7lky4YkRZqpo55t1mnU
01056,Ludlow,Eastern Time (US & Canada),25013,ChIJWXYSuYTD5okRPWmWL5uDBBc
01057,Monson,Eastern Time (US & Canada),25013,ChIJyZOUAk-V5okRO1voETPlN-A
01059,North Amherst,Eastern Time (US & Canada),25015,ChIJecDUHwjS5okRkgY6q66xjMU
01060,Northampton,Eastern Time (US & Canada),25015,ChIJjw0ZaD_X5okRA4pyMSCgDks
01061,Northampton,Eastern Time (US & Canada),25015,ChIJs5Dh1RTX5okRRUjFeBKo36Q
01062,Florence,Eastern Time (US & Canada),25015,ChIJKQYx1-jX5okRXrbXQqkmcgU
01063,Northampton,Eastern Time (US & Canada),25015,ChIJs5Dh1RTX5okR0rK9sNzDE38
01066,North Hatfield,Eastern Time (US & Canada),25015,ChIJ9TC0H3vU5okRJ3pgIChisiI
01068,Oakham,Eastern Time (US & Canada),25027,ChIJD6AX26Cs5okR8TWOVq0XNEU
01069,Palmer,Eastern Time (US & Canada),25013,ChIJXdMTn6-45okRapR6KwYs5sY
01070,Plainfield,Eastern Time (US & Canada),25015,ChIJpyQZ-DvN4IkRAM0aXw0plFE
01071,Russell,Eastern Time (US & Canada),25013,ChIJQ4zYAFoY54kRltBEGXiLhmM
01072,Shutesbury,Eastern Time (US & Canada),25011,ChIJv0_sQoA04YkR8ZGDhCjaRqU
01073,Southampton,Eastern Time (US & Canada),25015,ChIJO6UloLgg54kRTtOiXW8Pk-E
01074,South Barre,Eastern Time (US & Canada),25027,ChIJSwO-6rey5okRZkdjeDkle-c
01075,South Hadley,Eastern Time (US & Canada),25015,ChIJfylSSMLa5okR4Y6fRg2Zn54
01077,Southwick,Eastern Time (US & Canada),25013,ChIJtVkJT_Ac54kRnvevs3WprRg
01079,Thorndike,Eastern Time (US & Canada),25013,ChIJd1QSpKG45okRaLaO9RL--vM
01080,Three Rivers,Eastern Time (US & Canada),25013,ChIJ14-9t83A5okRBCMEyMXzzvU
01081,Wales,Eastern Time (US & Canada),25013,ChIJhzxaKnGW5okRABRw1UgTDPc
01082,Ware,Eastern Time (US & Canada),25015,ChIJkQWxu8O05okRcJ-enYLOjnM
01083,Warren,Eastern Time (US & Canada),25027,ChIJ5bMsLFK65okRwJpzrAyVCls
01084,West Chesterfield,Eastern Time (US & Canada),25015,ChIJK6sAgBAu54kR50kxlO6YfFI
01085,Westfield,Eastern Time (US & Canada),25013,ChIJv-_dsmgf54kRidZ2JICbHO4
01086,Westfield,Eastern Time (US & Canada),25013,ChIJ1QDuRFEe54kR0yWZtRgglhA
01088,West Hatfield,Eastern Time (US & Canada),25015,ChIJdaiIliTU5okRifUtoeiwZEM
01089,West Springfield,Eastern Time (US & Canada),25013,ChIJHzeEWuXg5okR5np8uNPJ4ho
01090,West Springfield,Eastern Time (US & Canada),25013,ChIJU00a5Cvh5okRt6kySRAvns8
01092,West Warren,Eastern Time (US & Canada),25027,ChIJXz0seom55okROWXDb9J1qRM
01093,Whately,Eastern Time (US & Canada),25011,ChIJbXMtSb7U5okRsurd_nr-wpc
01094,Wheelwright,Eastern Time (US & Canada),25027,ChIJ6ySAvmKt5okROig6D2WfgFk
01095,Wilbraham,Eastern Time (US & Canada),25013,ChIJOTX7vxnC5okRvpKs9Ca-SPY
01096,Williamsburg,Eastern Time (US & Canada),25015,ChIJzULUVaEr54kR6mmeGClIlxs
01097,Woronoco,Eastern Time (US & Canada),25013,ChIJVWbsAUgY54kRtkQuwg4v6TQ
01098,Worthington,Eastern Time (US & Canada),25015,ChIJ7dngNqYx54kRjXFe8LXwtgc
01101,Springfield,Eastern Time (US & Canada),25013,ChIJvbY4nyDn5okROkNAp4ubGaw
01102,Springfield,Eastern Time (US & Canada),25013,ChIJASjQs-Dm5okRdrmMqMmZKU8
01103,Springfield,Eastern Time (US & Canada),25013,ChIJT3pxf-Dm5okRSRwginzuKI8
01104,Springfield,Eastern Time (US & Canada),25013,ChIJe9W7rXfn5okR-2v84yDKb9I
01105,Springfield,Eastern Time (US & Canada),25013,ChIJ1a04rvzm5okR9Aj0nXPdnkM
01106,Longmeadow,Eastern Time (US & Canada),25013,ChIJjf2EVjPk5okR9dITNq3ZS5g
01107,Springfield,Eastern Time (US & Canada),25013,ChIJzdBUzDDn5okRLZ6-Kji-kNM
01108,Springfield,Eastern Time (US & Canada),25013,ChIJf8PYN2fm5okR7XZ1kmoMSGc
01109,Springfield,Eastern Time (US & Canada),25013,ChIJBZUU9pXn5okR2MC110Z516M
01111,Springfield,Eastern Time (US & Canada),25013,ChIJadSSQL7n5okRVYrXwgGEyUg
01115,Springfield,Eastern Time (US & Canada),25013,ChIJASjQs-Dm5okRyLMXEyOLNnI
01116,Longmeadow,Eastern Time (US & Canada),25013,ChIJL_1f2Tnk5okRq6Rc4X24yxM
01118,Springfield,Eastern Time (US & Canada),25013,ChIJUdT93irm5okRT9MqcDc0QWw
01119,Springfield,Eastern Time (US & Canada),25013,ChIJbQVcAQXo5okRdf6yHdj2pT8
01128,Springfield,Eastern Time (US & Canada),25013,ChIJ2RYUh1no5okR42GCVpbucfY
01129,Springfield,Eastern Time (US & Canada),25013,ChIJzV-HPRHo5okR1lJI0mJKgqc
01138,Springfield,Eastern Time (US & Canada),25013,ChIJASjQs-Dm5okRSK6Xnp9KVFE
01139,Springfield,Eastern Time (US & Canada),25013,ChIJpeVy_ibn5okRBJZVzuc_7ZQ
01144,Springfield,Eastern Time (US & Canada),25013,ChIJmSrYJ97m5okRxv5HHhlKjLs
01151,Indian Orchard,Eastern Time (US & Canada),25013,ChIJ1U1WR7bC5okREB-sQA3Rlys
01152,Springfield,Eastern Time (US & Canada),25013,ChIJU8q9SjXd5okRL0VUTysDGL8
01199,Springfield,Eastern Time (US & Canada),25013,ChIJ6cEc6zDn5okRc95jwDzrnlg
01201,Pittsfield,Eastern Time (US & Canada),25003,ChIJuVFH_dhR54kRSG1MCVyAZXE
01202,Pittsfield,Eastern Time (US & Canada),25003,ChIJzQLODERO54kRNO9q5wk54lE
01203,Pittsfield,Eastern Time (US & Canada),25003,ChIJzQLODERO54kR8L8a6X5AKTE
01220,Adams,Eastern Time (US & Canada),25003,ChIJFzn5C3214IkRO9oKhRYJL9U
